Wavelength (nm)	Dilution Corrected Absorbance
230	1.283635
233	1.227579
236	1.199521
239	1.176162
242	1.156845
245	1.138255
248	1.121089
251	1.103644
254	1.086197
257	1.065391
260	1.04379
263	1.018838
266	0.9912133
269	0.9621734
272	0.9300897
275	0.8975869
278	0.8643649
281	0.8282576
284	0.793299
287	0.7582648
290	0.7266213
293	0.6960916
296	0.6692305
299	0.638404
302	0.6085351
305	0.5790178
308	0.5520571
311	0.5270045
314	0.5024565
317	0.4805559
320	0.4600314
323	0.4403037
326	0.4224608
329	0.4066658
332	0.3918366
335	0.3785976
338	0.3660728
341	0.3540666
344	0.3426208
347	0.3319558
350	0.3216696
353	0.3115865
356	0.301584
359	0.2920704
362	0.2823352
365	0.27256
368	0.2620045
371	0.2505726
374	0.2383126
377	0.2262132
380	0.2147113
383	0.2040359
386	0.1935286
389	0.1836284
392	0.1749201
395	0.1666648
398	0.1597662
401	0.1532859
404	0.1470778
407	0.1409566
410	0.1350805
413	0.1293943
416	0.1240258
419	0.1190526
422	0.1140668
425	0.1096826
428	0.1055456
431	0.101348
434	0.09737074
437	0.09369773
440	0.09032386
443	0.08713176
446	0.08447187
449	0.08201072
452	0.07993817
455	0.07796737
458	0.07608951
461	0.07447814
464	0.07292433
467	0.07128176
470	0.06971242
473	0.06794936
476	0.06638695
479	0.0647115
482	0.06297023
485	0.06154649
488	0.05982642
491	0.05805524
494	0.05670512
497	0.05477516
500	0.05328074
503	0.05171528
506	0.05034052
509	0.04901947
512	0.04557875
515	0.04618202
518	0.044722
521	0.04343199
524	0.04205004
527	0.04094109
530	0.03962364
533	0.03852626
536	0.03740376
539	0.03666477
542	0.03561178
545	0.03469883
548	0.03386145
551	0.03299685
554	0.03230684
557	0.03155321
560	0.03107176
563	0.03037537
566	0.02988982
569	0.02929553
572	0.02882998
575	0.02821194
578	0.02779518
581	0.02749311
584	0.02709994
587	0.02682152
590	0.02646252
593	0.02613126
596	0.0257974
599	0.02567995
602	0.02519181
605	0.02480739
608	0.02462107
611	0.02443911
614	0.02406858
617	0.02381448
620	0.02334268
623	0.02299986
626	0.02263612
629	0.02236917
632	0.02194863
635	0.02150331
638	0.02093974
641	0.02022453
644	0.01992505
647	0.01988535
650	0.01978296
653	0.01984351
656	0.0195946
659	0.01936355
662	0.019035
665	0.01883016
668	0.01843633
671	0.0183381
674	0.01803185
677	0.01794677
680	0.01775601
683	0.01759638
686	0.01722585
689	0.01721689
692	0.0170462
695	0.01667459
698	0.01655891
701	0.01681725
704	0.01659445
707	0.01667531
710	0.01676002
713	0.01633597
716	0.01570118
719	0.01519991
722	0.01514272
725	0.01522099
728	0.01582868
731	0.01645208
734	0.01684619
737	0.01648637
740	0.01624355
743	0.01589665
746	0.01577155
749	0.01573552
752	0.01578224
755	0.01579255
758	0.01549185
761	0.01549257
764	0.01556338
767	0.01549056
770	0.01535973
773	0.01537541
776	0.01509588
779	0.01521667
782	0.01542807
785	0.01561582
788	0.01539057
791	0.01543136
794	0.0157729
797	0.01530202
800	0.01536901
